transaction_id,customer_id,campaign_id,purchase_date,amount
73b5d439-515d-4e2f-868e-ba47b907953e,555,35,2024-01-21,2313.023468327686
0f97f618-2974-450d-a3bc-7a7e070eda12,797,4,2024-04-07,1712.540164374231
e0d6e22d-f5b8-4f68-9e0a-d420dd8e3a26,633,88,2024-01-09,4819.4325376601
91904d94-c5af-4fc5-812f-805ea7cd3fa4,720,92,2024-03-28,1367.5032430739773
d96b73ce-1071-4429-afcc-518d13b085a1,294,91,2024-04-15,3063.703591270677
03321457-3f9a-42d9-b8e1-68cc9afe74e9,471,3,2024-01-31,1031.0117485116684
2dda6b4c-d323-42f7-9a6c-21316c8f16f7,701,2,2024-03-06,4748.4914005656
e88d1e76-5290-463f-a07b-d8e4eb9b6217,273,3,2024-03-18,4523.811858669453
72da7340-4730-41c1-a93d-2c6c30622d81,613,35,2024-03-31,1890.3096818874858
e23be586-aff7-45c5-b62f-b568bbe7da58,542,53,2024-04-15,975.3759646378859
37458c1b-0fbd-47f4-82f8-fa0664bb16d7,73,13,2024-03-02,1131.8980036608498
8a7392e9-a567-417a-b2ee-e9189a23a747,820,2,2024-04-23,3118.7364389935096
a10b4747-706d-4c12-beb9-2ab02c29599c,812,9,2024-04-19,1843.966587301302
fb0c644e-16b1-4344-875d-1b4bdb3b6aaa,725,81,2024-03-25,1473.0269317610264
d6e1e164-54ef-466b-bd10-1300ebdd3df8,245,54,2024-04-14,3345.198362574549
aade2725-6903-4593-a25c-6bb359c85097,256,62,2024-01-31,2438.8720036479135
26d08074-711c-4e0f-b51d-4b19a7a728a4,401,98,2024-03-07,180.06017984134354
65551892-240c-4356-a6b0-b46561e818fd,816,18,2024-04-13,1765.7214380482621
39c7f711-c64c-48e9-9de4-99eee92eb1d3,134,29,2024-03-29,926.1439012786205
4c98eb2e-a6b2-4f26-a0b2-bf4ba89cf5af,540,71,2024-04-19,3538.4101355525345
783bf8f6-6c9f-4278-8652-6ebb79b1fae5,281,53,2024-01-08,1688.63832530613
ef18c7eb-a1ec-45af-99fc-bad889c1f686,58,63,2024-02-25,3321.73312887457
98079a81-e241-4d7b-ac8c-d5520e5775fa,100,4,2024-01-20,2322.5198009028977
0113470b-ff65-418f-b4b4-540294c72ba3,877,40,2024-03-01,1276.5524737516046
f0cdc2fe-412f-4f68-aecc-2d12fa8e2378,330,11,2024-03-12,522.6072635988295
7f555046-4e61-4526-85fa-175a40b2d09c,294,93,2024-04-16,855.5839810636701
fb149c72-4ade-49df-985f-685156737080,581,74,2024-03-23,1677.5579184107783
f36db387-b1f0-4691-8e45-01ee37081102,642,27,2024-01-28,4079.4335903393394
6524da33-651e-422b-b16d-6aaf7df943d7,679,16,2024-04-13,265.8560693353895
0fd9ccf2-e940-41d5-9ba2-25b54e4e9817,761,36,2024-04-05,1290.6144715174341
3bf817b9-cf60-4f99-8c30-135b8a5171e6,538,93,2024-01-17,169.070488301043
a37e3f17-06b9-4253-bb9d-dfd8ced862e8,88,24,2024-03-12,3509.309437507791
4add21dd-ece0-4afa-bf0c-0e9d8d2a6d7d,237,25,2024-01-12,12.615600387424184
bb367f6c-2bc2-49d2-a3a9-2df9fd0b83a9,418,84,2024-03-31,1789.4961825604114
340dead5-26a1-470d-9d47-cd77bf4c2756,329,1,2024-03-21,4026.465899444136
4c500c51-2e83-46cb-83c8-98c8ed6ba7e5,401,91,2024-02-08,2135.087947819721
cf364bff-cf2b-487b-ad1f-9cf0dd93133f,561,4,2024-04-05,2174.3802647504017
ec0e113b-1222-4994-b6a0-e7c8b32487c5,571,84,2024-03-08,4799.446156777294
d2c862cd-c94d-42e7-9abd-b264129e31e6,46,60,2024-02-25,1751.0991187440868
9074b6dd-941f-4803-886b-458aabf017f6,734,64,2024-01-12,3132.299286297361
148f2c12-a1df-4163-bf10-c7925c6dc41d,87,67,2024-04-22,4217.897089843165
44a0db14-6318-45b4-a513-78f18444c5ed,703,72,2024-01-02,1878.7134365347645
185b0bf0-c599-4d1d-8fad-03482c6d11dc,246,21,2024-04-10,139.06160865126353
6c77f8e3-ecc3-4ce4-a3d9-bea43b601fbb,837,16,2024-01-06,4398.352166087693
00f61d3b-e65f-4885-ad9e-72b847aa7464,830,75,2024-02-03,870.6623152222168
4cc7826b-4be8-4f71-a5f9-699ff589afdf,858,61,2024-04-19,1293.268405217918
54868137-ae91-4baf-8f11-a5a8bb8eb4f8,989,6,2024-04-06,2856.001215113443
51c3d3dc-ee81-472e-85bf-814a46bb9fb6,1,8,2024-02-18,1031.9563962496945
f6ba7a9d-0ca3-42a1-a593-835cfa9401c5,451,51,2024-02-13,3602.9620081805106
4ea7fd21-04b5-4dfa-85da-175d3c5f1df8,891,84,2024-04-09,328.26258362534634
02addbff-5a6f-4ecb-ba08-f493b48d2ef7,442,64,2024-01-15,4919.508011202465
30eaddfe-d35c-425c-8a83-303d7e6ebea5,768,10,2024-04-14,3761.161494443309
77badbe5-c6cd-4276-811e-e274eaeaf089,605,50,2024-04-07,2463.4310291895104
a87eae14-9138-493a-8dd7-5493cd235659,942,97,2024-03-07,334.2318546843144
ffb381b0-4791-434c-97a8-dc35150cc52a,437,7,2024-01-08,1145.7688382747226
4be08920-9c7b-4c12-b4dc-7bf50594d708,401,13,2024-02-03,3945.9999650475506
98f6d3c2-ed10-4f5e-baae-54bd8cc6fd7f,388,96,2024-01-19,480.26224539288785
c0b4f684-aa3f-4ef4-ba20-34b094b6def8,950,27,2024-03-06,3205.4352217219825
7428cbeb-7b63-43bb-adb8-d13929f8a4ce,508,55,2024-04-28,2266.727032520778
b2bee1cc-506d-47cf-9cfc-e19b581116bf,627,71,2024-03-04,391.05179674159365
7651eebc-c3a9-4077-b2d9-69911fcf4ac6,140,87,2024-04-08,983.6896782691598
bf3a510b-00e8-45ac-a40c-ea337734f841,729,46,2024-01-07,2518.7788747986124
be9e813b-ebd1-49d1-b69a-c420487d922d,826,78,2024-02-13,1116.8263683126615
e4a601f6-63ab-4e7e-9b54-c93b1488d8bb,260,87,2024-02-27,3134.049485600108
b97256fe-25f9-4376-bd0e-1f73116933ec,916,15,2024-02-07,1282.1080315591587
71d8c961-3681-440b-8768-ce91115907c3,7,4,2024-01-12,339.51441678257174
cb7663b5-803c-491c-89ff-683ff8c2e1b4,187,33,2024-01-31,4514.4409030577945
3f41d3df-59a4-4b75-84d8-7713dd31d9dd,6,49,2024-04-20,585.8046823531247
5507ff64-ab06-4d24-b583-fe5483c56d92,295,70,2024-03-24,2240.1772875975253
03fad1fc-60e8-4004-9896-20389453958f,143,30,2024-03-31,3949.800347573295
58f52922-280b-4f49-a08e-f92c1756f3e9,925,60,2024-02-13,4954.549191133213
9f21eb38-cf11-4ad0-9333-e890d064632a,926,59,2024-02-22,3912.6596617498703
ee5f3fe0-dc92-4e55-986d-20013c8d6ae4,532,72,2024-01-01,3506.261552199601
9ec02ec6-e2c4-40e5-86f3-43ef64449e3c,456,94,2024-04-08,4461.7085875385
8ccd085e-2619-43e0-8a29-12957587b4bb,507,24,2024-04-12,1800.949982802781
115318ba-473d-4b8d-a213-3e1878935e34,980,63,2024-03-20,4896.449277834381
