timestamp,campaign_id,cost,impressions,clicks
2023-01-01 00:00:00,1,100.0,1000,50
2023-01-02 00:00:00,2,150.0,1500,75
2023-01-03 00:00:00,3,200.0,2000,100
2023-01-04 00:00:00,4,250.0,2500,125
2023-01-05 00:00:00,5,300.0,3000,150
2023-01-06 00:00:00,6,350.0,3500,175
2023-01-07 00:00:00,7,400.0,4000,200
2023-01-08 00:00:00,8,450.0,4500,225
2023-01-09 00:00:00,9,500.0,5000,250
2023-01-10 00:00:00,10,550.0,5500,275
2023-01-11 00:00:00,11,600.0,6000,300
2023-01-12 00:00:00,12,650.0,6500,325
2023-01-13 00:00:00,13,700.0,7000,350
2023-01-14 00:00:00,14,750.0,7500,375
2023-01-15 00:00:00,15,800.0,8000,400
2023-01-16 00:00:00,16,850.0,8500,425
2023-01-17 00:00:00,17,900.0,9000,450
2023-01-18 00:00:00,18,950.0,9500,475
2023-01-19 00:00:00,19,1000.0,10000,500
2023-01-20 00:00:00,20,1050.0,10500,525
2023-01-21 00:00:00,21,1100.0,11000,550
2023-01-22 00:00:00,22,1150.0,11500,575
2023-01-23 00:00:00,23,1200.0,12000,600
2023-01-24 00:00:00,24,1250.0,12500,625
2023-01-25 00:00:00,25,1300.0,13000,650
2023-01-26 00:00:00,26,1350.0,13500,675
2023-01-27 00:00:00,27,1400.0,14000,700
2023-01-28 00:00:00,28,1450.0,14500,725
2023-01-29 00:00:00,29,1500.0,15000,750
2023-01-30 00:00:00,30,1550.0,15500,775
2023-01-31 00:00:00,31,1600.0,16000,800
2023-02-01 00:00:00,32,1650.0,16500,825
2023-02-02 00:00:00,33,1700.0,17000,850
2023-02-03 00:00:00,34,1750.0,17500,875
2023-02-04 00:00:00,35,1800.0,18000,900
2023-02-05 00:00:00,36,1850.0,18500,925
2023-02-06 00:00:00,37,1900.0,19000,950
2023-02-07 00:00:00,38,1950.0,19500,975
2023-02-08 00:00:00,39,2000.0,20000,1000
2023-02-09 00:00:00,40,2050.0,20500,1025
2023-02-10 00:00:00,41,2100.0,21000,1050
2023-02-11 00:00:00,42,2150.0,21500,1075
2023-02-12 00:00:00,43,2200.0,22000,1100
2023-02-13 00:00:00,44,2250.0,22500,1125
2023-02-14 00:00:00,45,2300.0,23000,1150
2023-02-15 00:00:00,46,2350.0,23500,1175
2023-02-16 00:00:00,47,2400.0,24000,1200
2023-02-17 00:00:00,48,2450.0,24500,1225
2023-02-18 00:00:00,49,2500.0,25000,1250
2023-02-19 00:00:00,50,2550.0,25500,1275 
